,respondent_id,city_of_residence,citizenship,data_id,reason_name,amount,currency,transaction_date,account,transaction_id,surveyor,tool,timeline,transaction_type,payment_type,date_created,date_last_updated,edit_count,description,file
0,254525,Mutare,Zimbabwe,IN00029928,Mdawini Tuckshop,900.0,ZWL,2020-05-04,,,,,Full payment,,Full payment,2020-05-09,2020-07-20,3,,income
1,254525,Mutare,Zimbabwe,IN00029929,Mdawini Tuckshop,880.0,ZWL,2020-05-05,,,,,Full payment,,Full payment,2020-05-09,2020-07-20,3,,income
2,254525,Mutare,Zimbabwe,IN00029930,Mdawini Tuckshop,1000.0,ZWL,2020-05-06,,,,,Full payment,,Full payment,2020-05-09,2020-07-23,3,,income
3,254525,Mutare,Zimbabwe,IN00029931,Mdawini Tuckshop,900.0,ZWL,2020-05-07,,,,,Full payment,,Full payment,2020-05-09,2020-07-23,4,,income
4,254525,Mutare,Zimbabwe,IN00029932,Mdawini Tuckshop,900.0,ZWL,2020-05-08,,,,,Full payment,,Full payment,2020-05-09,2020-07-23,3,,income
5,254525,Mutare,Zimbabwe,IN00030201,Mdawini Tuckshop,1800.0,ZWL,2020-05-09,,,,,Full payment,,Full payment,2020-05-13,2020-07-23,4,,income
6,254525,Mutare,Zimbabwe,IN00030199,Mdawini Tuckshop,1600.0,ZWL,2020-05-10,,,,,Full payment,,Full payment,2020-05-13,2020-07-23,3,,income
7,254525,Mutare,Zimbabwe,IN00030202,Mdawini Tuckshop,1200.0,ZWL,2020-05-11,,,,,Full payment,,Full payment,2020-05-13,2020-07-23,1,,income
8,254525,Mutare,Zimbabwe,IN00030200,Mdawini Tuckshop,1300.0,ZWL,2020-05-12,,,,,Full payment,,Full payment,2020-05-13,2020-07-23,4,,income
9,254525,Mutare,Zimbabwe,IN00031202,Mdawini Tuckshop,1557.0,ZWL,2020-05-13,,,,,Full payment,,Full payment,2020-05-16,2020-07-23,1,,income
10,254525,Mutare,Zimbabwe,IN00031203,Mdawini Tuckshop,1300.0,ZWL,2020-05-14,,,,,Full payment,,Full payment,2020-05-16,2020-07-23,1,,income
11,254525,Mutare,Zimbabwe,IN00031204,Mdawini Tuckshop,1459.0,ZWL,2020-05-15,,,,,Full payment,,Full payment,2020-05-16,2020-07-23,1,,income
12,254525,Mutare,Zimbabwe,IN00031205,Mdawini Tuckshop,1620.0,ZWL,2020-05-16,,,,,Full payment,,Full payment,2020-05-16,2020-07-23,2,,income
13,254525,Mutare,Zimbabwe,IN00031678,Mdawini Tuckshop,1073.0,ZWL,2020-05-17,,,,,Full payment,,Full payment,2020-05-23,2020-07-23,1,,income
14,254525,Mutare,Zimbabwe,IN00031679,Mdawini Tuckshop,1571.0,ZWL,2020-05-18,,,,,Full payment,,Full payment,2020-05-23,2020-07-23,1,,income
15,254525,Mutare,Zimbabwe,IN00031680,Mdawini Tuckshop,924.0,ZWL,2020-05-19,,,,,Full payment,,Full payment,2020-05-23,2020-07-23,1,,income
16,254525,Mutare,Zimbabwe,IN00031681,Mdawini Tuckshop,1019.0,ZWL,2020-05-20,,,,,Full payment,,Full payment,2020-05-23,2020-07-23,1,,income
17,254525,Mutare,Zimbabwe,IN00031682,Mdawini Tuckshop,1078.0,ZWL,2020-05-21,,,,,Full payment,,Full payment,2020-05-23,2020-07-23,1,,income
18,254525,Mutare,Zimbabwe,IN00031683,Mdawini Tuckshop,1495.0,ZWL,2020-05-22,,,,,Full payment,,Full payment,2020-05-23,2020-07-23,1,,income
19,254525,Mutare,Zimbabwe,IN00032286,Mdawini Tuckshop,1259.0,ZWL,2020-05-23,,,,,Full payment,,Full payment,2020-05-30,2020-07-23,1,,income
20,254525,Mutare,Zimbabwe,IN00032287,Mdawini Tuckshop,425.0,ZWL,2020-05-25,,,,,Full payment,,Full payment,2020-05-30,2020-07-23,1,,income
21,254525,Mutare,Zimbabwe,IN00032288,Mdawini Tuckshop,889.5,ZWL,2020-05-26,,,,,Full payment,,Full payment,2020-05-30,2020-07-23,1,,income
22,254525,Mutare,Zimbabwe,IN00032289,Mdawini Tuckshop,382.0,ZWL,2020-05-27,,,,,Full payment,,Full payment,2020-05-30,2020-07-23,1,,income
23,254525,Mutare,Zimbabwe,IN00032290,Mdawini Tuckshop,685.0,ZWL,2020-05-28,,,,,Full payment,,Full payment,2020-05-30,2020-07-23,1,,income
24,254525,Mutare,Zimbabwe,IN00032291,Mdawini Tuckshop,806.5,ZWL,2020-05-29,,,,,Full payment,,Full payment,2020-05-30,2020-07-23,1,,income
