,respondent_id,city_of_residence,citizenship,data_id,reason_name,amount,currency,transaction_date,account,transaction_id,surveyor,tool,timeline,transaction_type,payment_type,date_created,date_last_updated,edit_count,description,file,country_of_residence
0,129938,Gweru,Zimbabwe,IN00000891,irrua specialist  teaching  hospital,80000,NGN,2019-06-01,,,,,Full payment,,Full payment,,,0,,income,
1,129938,Gweru,Zimbabwe,IN00001206,irrua specialist  teaching  hospital,80000,NGN,2019-07-01,,,,,Full payment,,Full payment,,2021-01-09,2,,income,
2,129938,Gweru,Zimbabwe,IN00001579,irrua specialist  teaching  hospital,80000,NGN,2019-08-03,,,,,Full payment,,Full payment,,,0,,income,
3,129938,Gweru,Zimbabwe,IN00002071,irrua specialist  teaching  hospital,80000,NGN,2019-08-31,,,,,Full payment,,Full payment,,,0,,income,
4,129938,Gweru,Zimbabwe,IN00002696,irrua specialist  teaching  hospital,88000,NGN,2019-09-01,,,,,Full payment,,Full payment,,,0,,income,
5,129938,Gweru,Zimbabwe,IN00008890,irrua specialist  teaching  hospital,88000,NGN,2019-10-05,,,,,Full payment,,Full payment,,,0,,income,
6,129938,Gweru,Zimbabwe,IN00008170,irrua specialist  teaching  hospital,88000,NGN,2019-10-26,,,,,Full payment,,Full payment,,2021-01-09,1,,income,
7,129938,Gweru,Zimbabwe,IN00008891,irrua specialist  teaching  hospital,88000,NGN,2019-11-02,,,,,Full payment,,Full payment,,,0,,income,
8,129938,Gweru,Zimbabwe,IN00012933,irrua specialist  teaching  hospital,88000,NGN,2019-12-07,,,,,Full payment,,Full payment,,,0,,income,
9,129938,Gweru,Zimbabwe,IN00020004,crafish buz trading,240000,NGN,2020-01-25,,,,,Full payment,,Full payment,,2021-01-19,2,,income,
10,129938,Gweru,Zimbabwe,IN00020368,irrua specialist  teaching  hospital,88000,NGN,2020-02-01,,,,,Full payment,,Full payment,,,0,,income,
11,129938,Gweru,Zimbabwe,IN00023394,irrua specialist  teaching  hospital,88000,NGN,2020-03-07,,,,,Full payment,,Full payment,2020-04-01,2020-04-01,0,,income,
12,129938,Gweru,Zimbabwe,IN00028618,irrua specialist  teaching  hospital,88000,NGN,2020-04-04,,,,,Full payment,,Full payment,2020-04-25,2020-04-25,0,,income,
13,129938,Gweru,Zimbabwe,IN00028619,crafish buz trading,40000,NGN,2020-04-04,,,,,Full payment,,Full payment,2020-04-25,2020-04-25,0,,income,
14,129938,Gweru,Zimbabwe,IN00029383,irrua specialist  teaching  hospital,88000,NGN,2020-05-02,,,,,Full payment,,Full payment,2020-05-04,2020-05-04,0,,income,
15,129938,Gweru,Zimbabwe,IN00029384,crafish buz trading,35000,NGN,2020-05-02,,,,,Full payment,,Full payment,2020-05-04,2020-05-04,0,,income,
16,129938,Gweru,Zimbabwe,IN00031610,crafish buz trading,25000,NGN,2020-05-16,,,,,Full payment,,Full payment,2020-05-22,2020-05-22,0,,income,
17,129938,Gweru,Zimbabwe,IN00032158,irrua specialist  teaching  hospital,88000,NGN,2020-05-23,,,,,Full payment,,Full payment,2020-05-28,2020-05-28,0,,income,
18,129938,Gweru,Zimbabwe,IN00032485,crafish buz trading,32000,NGN,2020-05-30,,,,,Full payment,,Full payment,2020-06-02,2021-01-14,2,,income,
19,129938,Gweru,Zimbabwe,IN00036185,irrua specialist  teaching  hospital,80000,NGN,2020-06-13,,,,,Full payment,,Full payment,2020-06-23,2020-06-23,0,,income,
20,129938,Gweru,Zimbabwe,IN00037618,irrua specialist  teaching  hospital,8450,NGN,2020-06-13,,,,,Full payment,,Full payment,2020-06-29,2020-06-29,0,,income,
21,129938,Gweru,Zimbabwe,IN00039121,crafish buz trading,423000,NGN,2020-07-04,,,,,Full payment,,Full payment,2020-07-12,2021-01-19,3,,income,
22,129938,Gweru,Zimbabwe,IN00049268,irrua specialist  teaching  hospital,88000,NGN,2020-09-01,,,,,Full payment,,Full payment,2020-09-01,2020-09-01,0,,income,
23,129938,Gweru,Zimbabwe,IN00057234,crafish buz trading,426000,NGN,2020-10-24,,,,,Full payment,,Full payment,2020-10-28,2021-01-19,2,,income,
24,129938,Gweru,Zimbabwe,IN00065600,irrua specialist  teaching  hospital,88000,NGN,2020-12-02,,,,,Full payment,,,2020-12-02,2020-12-02,0,,income,
25,129938,Gweru,Zimbabwe,IN00069485,crafish buz trading,245000,NGN,2020-12-12,,,,,Full payment,,,2020-12-16,2020-12-16,0,,income,
26,129938,Gweru,Zimbabwe,IN00072102,crafish buz trading,251000,NGN,2020-12-19,,,,,Full payment,,,2020-12-25,2021-01-19,2,,income,
27,129938,Gweru,Zimbabwe,IN00075002,crafish buz trading,28500,NGN,2021-01-02,,,,,Full payment,,,2021-01-09,2021-01-16,1,,income,
28,129938,Gweru,Zimbabwe,IN00075001,irrua specialist  teaching  hospital,88000,NGN,2021-01-02,,,,,Full payment,,,2021-01-09,2021-01-16,3,,income,
29,129938,Gweru,Zimbabwe,IN00084846,crafish buz trading,45000,NGN,2021-01-16,,,,,Full payment,,,2021-01-19,2021-01-19,0,,income,
30,129938,Gweru,Zimbabwe,IN00084847,irrua specialist  teaching  hospital,103000,NGN,2021-02-01,,,,,Full payment,,,2021-02-03,2021-02-03,0,,income,
31,129938,Gweru,Zimbabwe,IN00084848,crafish buz trading,60000,NGN,2021-02-01,,,,,Full payment,,,2021-02-03,2021-02-03,0,,income,
32,129938,Gweru,Zimbabwe,IN00086938,crafish buz trading,84000,NGN,2021-02-13,,,,,Full payment,,,2021-02-16,2021-02-16,0,,income,
33,129938,Gweru,Zimbabwe,IN00094242,irrua specialist  teaching  hospital,88000,NGN,2021-02-27,,,,,Full payment,,,2021-03-02,2021-03-02,0,,income,
34,129938,Gweru,Zimbabwe,IN00107578,irrua specialist  teaching  hospital,88000,NGN,2021-04-03,,,,,Full payment,,,2021-04-08,2021-04-08,0,,income,
35,129938,Gweru,Zimbabwe,IN00108631,crafish buz trading,250000,NGN,2021-04-10,,,,,Full payment,,,2021-04-13,2021-04-13,0,,income,
36,129938,Gweru,Zimbabwe,IN00112824,crafish buz trading,215000,NGN,2021-04-17,,,,,Full payment,,,2021-04-26,2021-04-26,0,,income,
37,129938,Gweru,Zimbabwe,IN00122383,irrua specialist  teaching  hospital,88000,NGN,2021-05-01,,,,,Full payment,,,2021-05-05,2021-05-05,0,,income,
38,129938,Gweru,Zimbabwe,IN00122384,crafish buz trading,350000,NGN,2021-05-01,,,,,Full payment,,,2021-05-05,2021-05-05,0,,income,
39,129938,Gweru,Zimbabwe,IN00127572,crafish buz trading,25000,NGN,2021-05-08,,,,,Full payment,,,2021-05-12,2021-05-12,0,,income,
40,129938,Gweru,Zimbabwe,IN00132216,crafish buz trading,380000,NGN,2021-05-22,,,,,Full payment,,,2021-05-28,2021-05-28,0,,income,
41,129938,Gweru,Zimbabwe,IN00133250,irrua specialist  teaching  hospital,88000,NGN,2021-06-01,,,,,Full payment,,,2021-06-01,2021-06-01,0,,income,
42,129938,Gweru,Zimbabwe,IN00139100,crafish buz trading,480000,NGN,2021-06-12,,,,,Full payment,,,2021-06-20,2021-06-20,0,,income,
